A5-miseq
ABySS
ALLPATHS 
ALLPATHS-LG
Arachne
BBMap
bowtie2
Canu
Celera
CLC
CONTIGuator
DBG2OLC
dipSPAdes
DISCOVAR
FALCON
Flye
Geneious
HGAP
IDBA-Hybrid
IDBA-UD
MaSuRCA
MECAT
MEGAHIT
MHAP
MIRA
Newbler
NextDenovo
PBcR
PCAP
Phrap
PLATANUS
SMARTdenovo
SMRT Analysis
SOAPdenovo
SOAPdenovo2
SPAdes
Unicycler
Velvet
wtdbg2
