Class,Order,Family,Genus
Arthoniomycetes,Arthoniales,incertae sedis,Gossypiothallon
Arthoniomycetes,Arthoniales,incertae sedis,Helminthocarpon
Arthoniomycetes,Arthoniales,incertae sedis,Hormosphaeria
Arthoniomycetes,Arthoniales,incertae sedis,Minksia
Arthoniomycetes,Arthoniales,incertae sedis,Nipholepis
Arthoniomycetes,Arthoniales,incertae sedis,Perigrapha
Arthoniomycetes,Arthoniales,incertae sedis,Phoebus
Arthoniomycetes,Arthoniales,incertae sedis,Sporostigma
Arthoniomycetes,Arthoniales,incertae sedis,Synarthonia
Arthoniomycetes,Arthoniales,incertae sedis,Synarthothelium
Arthoniomycetes,Arthoniales,incertae sedis,Tarbertia
Arthoniomycetes,Arthoniales,incertae sedis,Tremotylium
Arthoniomycetes,Arthoniales,incertae sedis,Trichophyma
Arthoniomycetes,Arthoniales,incertae sedis,Tylophorella
Arthoniomycetes,Arthoniales,incertae sedis,Wegea
Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Etayoa
Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Lichenostigma
Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces
Coniocybomycetes,Coniocybales,Coniocybaceae,Chaenotheca
Coniocybomycetes,Coniocybales,Coniocybaceae,Sclerophora
Dothideomycetes,Abrothallales,Abrothallaceae,Abrothallus
Dothideomycetes,Acrospermales,Acrospermaceae,Acrospermum
Dothideomycetes,Acrospermales,Acrospermaceae,Gonatophragmium
Dothideomycetes,Acrospermales,Acrospermaceae,Oomyces
Dothideomycetes,Asterinales,Asterinaceae,Asterina
Dothideomycetes,Asterinales,Asterinaceae,Asterinella
Dothideomycetes,Asterinales,Asterinaceae,Asterolibertia
Dothideomycetes,Asterinales,Asterinaceae,Batistinula
Dothideomycetes,Asterinales,Asterinaceae,Blastacervulus
Dothideomycetes,Asterinales,Asterinaceae,Cirsosia
Dothideomycetes,Asterinales,Asterinaceae,Discopycnothyrium
Dothideomycetes,Asterinales,Asterinaceae,Echidnodella
Dothideomycetes,Asterinales,Asterinaceae,Echidnodes
Dothideomycetes,Asterinales,Asterinaceae,Halbania
Dothideomycetes,Asterinales,Asterinaceae,Lembosia
Dothideomycetes,Asterinales,Asterinaceae,Meliolaster
Dothideomycetes,Asterinales,Asterinaceae,Parasterinopsis
Dothideomycetes,Asterinales,Asterinaceae,Pirozynskiella
Dothideomycetes,Asterinales,Asterinaceae,Platypeltella
Dothideomycetes,Asterinales,Asterinaceae,Prillieuxina
Dothideomycetes,Asterinales,Asterinaceae,Schenckiella
Dothideomycetes,Asterinales,Asterinaceae,Trichasterina
Dothideomycetes,Asterinales,Asterinaceae,Trichopeltospora
Dothideomycetes,Asterinales,Asterinaceae,Uleothyrium
Dothideomycetes,Asterinales,Asterinaceae,Vizellopsis
Dothideomycetes,Asterinales,Asterotexaceae,Asterotexis
Dothideomycetes,Asterinales,incertae sedis,Buelliella
Dothideomycetes,Asterinales,incertae sedis,Hazslinszkya
Dothideomycetes,Asterinales,incertae sedis,Karschia
Dothideomycetes,Asterinales,incertae sedis,Melanographa
Dothideomycetes,Asterinales,incertae sedis,Melaspileella
Dothideomycetes,Asterinales,incertae sedis,Stictographa
Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Alanomyces
Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Aplosporella
Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Bagnisiella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Alanphillipsia
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Auerswaldiella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Barriopsis
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryobambusa
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Coccostromella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Cophinforma
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Dothiorella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Eutiarosporella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Macrophomina
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Marasasiomyces
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Metameris
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Mucoharknessia
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Myxophora
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neodeightonia
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Neoscytalidium
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phaeobotryon
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Phyllachorella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Pilgeriella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Sakireeta
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Sardiniella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Sivanesania
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Sphaeropsis
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Tiarosporella
Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Vestergrenia
